{0} is mandatory,{0} é obrigatório
Push to Google Calendar,Enviar para o Google Agenda
Push to Google Contacts,Enviar para os Contatos do Google
Qty,Qtd
QTY,QUANT
Quarterly,Trimestralmente
Query,Consulta
Query Options,Opções de Consulta
query-report,relatório-de-consulta
Quick Access,Acesso Rápido
Quick Entry,Entrada Rápida
Quotation,Cotação
Range,Alcance
Rate,Preço
RAW Information Log,Registro de informações RAW
Read by Recipient,Lido por destinatário
Read by Recipient On,Lido por destinatário ativado
Read Only Depends On,Somente leitura depende
Ready,Pronto
Reason,Motivo
Received,Recebido
Receiver By Document Field,Receptor por campo de documento
Receiver By Role,Receptor por função
Receiver Parameter,Parâmetro do recebedor
Recipient,Destinatário
Recipients,Destinatários
Recipient Unsubscribed,Destinatário com inscrição cancelada
Reconcile payment methods and close shift,Reconcilie os métodos de pagamento e feche o turno
Recruitment Analytics,Análise de Recrutamento
red,vermelho
Red,Vermelho
Redirect URL,Redirecionar URL
Reference,Referência
Reference Date,Data de Referência
Reference Docname,Nome do Documento de Referência
Reference DocName,Nome do Documento de Referência
Reference Invoice,Fatura de Referência
Reference name,Nome de Referência
Reference Name,Nome de Referência
Reference Owner,Proprietário de Referência
Reference Report,Relatório de referência
Refresh,Atualizar
Refresh Google Sheet,Atualizar planilha do Google
Relinked,Religado
Reload Items,Recarregar Artigos
Reload Now,Recarregar Agora
Remember Last Selected Value,Lembrar última seleção
Remove,Remover
Remove local data and refresh,Remover dados locais e atualizar
Rename,Renomear
Reopen,Reabrir
Repeat On,Repetir em
Repeat on Day,Repetir no dia
Repeat on Last Day of the Month,Repetir no último dia do mês
Repeat this Event,Repita este evento
Repeat Till,Repita até que
Replied,Respondido
_report,_relatório
Report,Relatório
Report Description,Descrição do relatório
Report Filters,Filtros de relatório
Report Hide,Ocultar Relatório
Report Information,Informações do Relatório
Reports,Relatórios
Reprint previous transaction,Reimprimir transação anterior
Request,Pedido
Request Data,Solicitar Dados
Request Structure,Estrutura da solicitação
Request URL,URL do pedido
Required columns cannot be hidden,Colunas obrigatórias não podem ser ocultadas
Require Trusted Certificate,Exigir certificado confiável
Reset,Redefinir
Reset Password,Redefinir palavra-passe
Reset Password Key,Redefinição de senha chave
response,resposta
Response,Resposta
Restored,Restaurado
Restrict IP,Restringir IP
Restrict to Domain,Restringir ao domínio
Restrict To Domain,Restringir ao domínio
Retention Bonus,Bónus de Retenção
Retry,Tentar Novamente
Return,Devolução
Return without Invoice,Devolução sem Fatura
Reverse Icon Color,Inverta Ícone Cor
Revoked,Revogado
Role and Level,Função e Nível
Role Name,Nome da Função
Roles Assigned,Funções Atribuídas
Roles HTML,Funções HTML
Roster,Escala de Trabalho
Round Robin,Robin Redondo
Route Redirects,Redirecionamentos de rota
Row Index,Índice de linhas
Row Name,Nome da Linha
Rows:,Linhas:
Rule,Regra
Rule Conditions,Condições da regra
Rules with higher priority number will be applied first.,Regras com número de prioridade mais alta serão aplicadas primeiro.
Run Jobs only Daily if Inactive For (Days),Executar trabalhos apenas diariamente se inativo por (dias)
Run scheduled jobs only if checked,As tarefas agendadas somente serão executadas se a opção estiver marcada
Salary Component,Componente Salarial
Salary Payments Based On Payment Mode,Pagamentos de Salário por Método de Pagamento
Salary Payments via ECS,Pagamentos de Salário via Transferência Bancária
Salary Payout,Pagamento de Salário
Salary Register,Registo Salarial
Salary Slip,Recibo de Salário
Salary Structure,Estrutura Salarial
Salary Structure Assignment,Atribuição de Estrutura Salarial
Salary Withholding,Retenção Salarial
Sales Funnel,Funil de Vendas
Sales Invoice,Fatura
Sales Invoices,Faturas
Sales Manager,Gerente de Vendas
Sales Master Manager,Gerente de Cadastros de Vendas
Sales Order,Ordem de Venda
Sales Person,Vendedor
Sales Pipeline,Pipeline de Vendas
Sales Pipeline Analytics,Análise do Funil de Vendas
Sales Return,Devolução de Venda
Sales Stage,Etapa de Vendas
Sales Taxes and Charges Template,Modelo de Impostos de Vendas
Sales User,Usuário de Vendas
Sample,Amostra
Save,Salvar
Save & Clear,Guardar e Limpar
Scan Error,Erro de Escaneamento
Scanned Code:,Código Escaneado:
Scanning items,Escaneando artigos
Scan QR Code/Barcode,Escanear Código QR/Código de Barras
Scheduled Job,Trabalho agendado
Scheduler Inactive,Agendador Inativo
Scheduler is inactive. Cannot import data.,O agendador está inativo. Não é possível importar dados.
Search,Pesquisar
Search Fields,Campos de Pesquisa
Search Mpesa Payments,Procurar Pagamentos M-Pesa
Search Priorities,Prioridades de pesquisa
Section,Seção
Section Break,Quebra de seção
Security Settings,Configurações de Segurança
Seen By,Visto por
Seen By Table,Visto por tabela
Select,Selecionar
Select a customer to use coupon,Selecione um cliente para usar cupão
Select Columns to Display,Selecionar Colunas para Exibir
Select Date Range,Selecionar período
Select items to apply offers,Selecione artigos para aplicar ofertas
Select Language,Selecionar Idioma
Select Payment,Selecionar Pagamento
Select Return Invoice,Selecionar Fatura de Devolução
Select Sales Orders,Selecionar Pedidos de Venda
Select S.O,Selecionar P.V
Select the label after which you want to insert new field.,Selecione a etiqueta após a qual você deseja inserir um novo campo.
Select Transaction,Selecione a Transação
Send,Enviar
Send After,Envie Depois
Send alert if date matches this field's value,Enviar alerta se a data corresponde valor deste campo
Send alert if this field's value changes,Enviar alerta se muda o valor desse campo
Send Alert On,Enviar Alerta
Send days before or after the reference date,Enviar dias antes ou depois da data de referência
Sending,Enviando
Send login link,Enviar ligação de acesso
Send Notifications For Documents Followed By Me,Enviar notificações para documentos seguidos por mim
Send Notification to,Enviar Notificação para
Send Now,Enviar Agora
Send only if there is any data,Envie somente se houver quaisquer dados
Send Print as PDF,Enviar impressão como PDF
Send System Notification,Enviar Notificação do Sistema
Send To All Assignees,Enviar para todos os cessionários
Sent or Received,Enviados ou recebidos
Sent Read Receipt-MZ,Enviar Confirmação de Leitura
Separator,Separador
Serial,Serial
Serial Numbers,Números de Série
Series,Série
Series List for this Transaction,Lista de séries para esta transação
Server Action,Ação do Servidor
Server CPU Usage:,Uso de CPU do Servidor:
Server Health,Saúde do Servidor
Server IP,IP do servidor
Server Memory Usage:,Uso de Memória do Servidor:
Server Metrics,Métricas do Servidor
Server Uptime:,Tempo Ativo do Servidor:
Service,Serviço
Set New Password,Definir nova senha
Set Property After Alert,Definir propriedade após o alerta
Set Role For,Definir papel para
Settings,Configurações
Settings Dropdown,Lista suspensa de configurações
Setup your organization,Configure a sua organização
Set Value,Definir valor
share,ação
Shared,Compartilhado
Shift Assignment,Atribuição de Turno
Shift Assignment Tool,Ferramenta de Atribuição de Turnos
Shift & Attendance,Turnos & Assiduidade
Shift Attendance,Assiduidade por Turno
Shift Location,Local de Turno
Shift Request,Pedido de Turno
Shifts,Turnos
Shift Schedule,Horário de Turno
Shift Schedule Assignment,Atribuição de Horário de Turno
Shift Type,Tipo de Turno
Shipping,Expedição
Shipping Address,Endereço Para Entrega
Shop,Loja
Show,Mostrar
Show Full Error and Allow Reporting of Issues to the Developer,Mostrar erro completo e permitir relatórios de problemas para o desenvolvedor
Show Full Form?,Mostrar formulário completo?
Show full form instead of a quick entry modal,Mostrar o formulário completo em vez de um modal de entrada rápida
Show in filter,Mostrar no filtro
Show in Module Section,Mostrar na Seção Módulo
Show Line Breaks after Sections,Mostrar quebras de linha após seções
Show percentage difference according to this time interval,Mostra a diferença percentual de acordo com este intervalo de tempo
Show Percentage Stats,Mostrar estatísticas percentuais
Show Section Headings,Mostrar Seção Títulos
Show Title,Mostrar Título
Sidebar Items,Itens da barra lateral
Sidebar Settings,Configurações da barra lateral
Signature,Assinatura
Sign out of session,Sair da sessão
Sign up,Registar
Simultaneous Sessions,Sessões simultâneas
Size,Tamanho
Size:,Tamanho:
Skip Authorization,Ignorar autorização
Slack,Folga
Slack Channel,Canal de folga
Slow Queries:,Consultas Lentas:
Smallest Currency Fraction Value,Menor valor fracionado de moeda
Small Text,Texto Pequeno
SMS Center,Centro de SMS
SMS Log,Registo de SMS
SMS Settings,Configurações de SMS
SMS was not sent. Please contact Administrator.,O SMS não foi enviado. Contacte o Administrador.
Social Login Provider,Provedor de acesso social
Something went wrong.,Algo correu mal.
Sort Field,Ordenar por campo
Sort Order,Ordem de classificação
Source,Origem
SSL/TLS Mode,Modo SSL / TLS
Staffing Plan,Plano de Pessoal
Start,Iniciar
Start Date,Data de Início
Start Date Field,Campo de Data de Início
Started,Começado
Starts on,Inicia em
State,Estado
State/Province,Estado / Província
States,Estados
Static Parameters,Parâmetros estáticos
Stats Time Interval,Intervalo de tempo das estatísticas
Step,Degrau
Steps,Passos
Stock Information,Informações de Stock
Stock is lower than requested. Proceeding may create negative stock.,O stock é inferior ao solicitado. Prosseguir pode criar stock negativo.
Stop,Parar
Stopped,Parado
Stores the JSON of last known versions of various installed apps. It is used to show release notes.,Armazena o JSON das últimas versões conhecidas de vários aplicativos instalados. Ele é usado para mostrar notas de lançamento.
Style,Estilo
Style Settings,Configurações de Estilo
Stylesheet,Folha de estilo
Subdomain,Subdomínio
Sub-domain provided by erpnext.com,Sub-domínio fornecido pelo erpnext.com
Subject,Assunto
Submit,Enviar
Submit After Import,Enviar após importação
Submit & Print,Submeter e Imprimir
Submitted,Enviado
Subsidiary,Subsidiário
Subtitle,Subtítulo
Success,Sucesso
Successfully scanned:,Escaneado com sucesso:
Success Message,Mensagem de sucesso
Success URL,URL de Confirmação
Supplier,Fornecedor
Supplier Ledger Summary,Resumo do Razão de Fornecedores
Switch Camera,Alternar Câmara
Switched to: ,Alternado para: 
Switch theme appearance,Alternar aparência do tema
Symbol,Símbolo
Sync,Sincronizar
Sync All Invoices,Sincronizar Todas as Faturas
Sync Offline Invoices,Sincronizar Faturas Offline
Sync with Google Calendar,Sincronize com o Google Agenda
Sync with Google Contacts,Sincronizar com os contatos do Google
System,Sistema
System Information,Informações do Sistema
System Manager,Administrador do Sistema
System managers are allowed by default,Gerentes de sistema são permitidos por padrão
System Notification,Notificação do sistema
System Page,Página do sistema
System Status,Estado do Sistema
Table Break,Pausa para a mesa
Table HTML,Tabela HTML
Tables:,Tabelas:
Task,Tarefa
Tasks,Tarefas
Tax,Imposto
Tax Category,Categoria Fiscal
Tax ID,NUIT
Tax Setup,Configuração de Impostos
Team Members Heading,Título da página Membros da Equipe
Template,Modelo
Template Options,Opções de modelo
Template Warnings,Avisos do modelo
Territory,Território
Territory Wise Sales,Vendas por Território
Text,Texto
Text Align,Alinhar Texto
Text Color,Cor do texto
Text Editor,Editor de Texto
The app stores data locally for offline use. This is called cache.,O aplicativo armazena dados localmente para uso offline. Isto chama-se cache.
The link will expire in {0} minutes,A ligação expira em {0} minutos
Theme,Tema
Theme Configuration,Configuração do Tema
Theme URL,URL do tema
The name that will appear in Google Calendar,O nome que aparecerá no Google Agenda
These invoices will be synced when connection is restored,Estas faturas serão sincronizadas quando a conexão for restaurada
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,Esses valores serão atualizados automaticamente em transações e também serão úteis para restringir as permissões para este usuário em operações que contenham esses valores.
The system could not retrieve the item details. Please try again.,O sistema não conseguiu obter os detalhes do artigo. Por favor tente novamente.
Third Party Authentication,Autenticação de Terceiros
This barcode could not be matched to any item.,Este código de barras não pôde ser associado a nenhum artigo.
This card will be available to all Users if this is set,Este cartão estará disponível para todos os usuários se estiver definido
This chart will be available to all Users if this is set,Este gráfico estará disponível para todos os usuários se estiver definido
This coupon already used !,Este cupão já foi usado!
This format is used if country specific format is not found,Este formato é usado se o formato específico país não é encontrado
This is an item template. Please choose a variant.,Este é um modelo de artigo. Por favor escolha uma variante.
This is the number of the last created transaction with this prefix,Este é o número da última transação criada com este prefixo
This will be shown in a modal after routing,Isso será mostrado em um modal após o roteamento
This will be shown to the user in a dialog after routing to the report,Isso será mostrado ao usuário em uma caixa de diálogo após o roteamento para o relatório
Time,Hora
Time format,Formato da hora
Time Format,Formato da hora
Time in seconds to retain QR code image on server. Min:<strong>240</strong>,Tempo em segundos para manter a imagem do código QR no servidor. Min: <strong>240</strong>
Timeline Links,Links da linha do tempo
Time Series,Séries Temporais
Time Series Based On,Séries Temporais Baseadas em
Time Zones,Fusos horários
Tip: Clear cache regularly to free up space and keep the app fast.,Dica: Limpe o cache regularmente para liberar espaço e manter o aplicativo rápido.
Tip: Close unused tabs or apps to reduce lag.,Dica: Feche abas ou aplicativos não utilizados para reduzir atraso.
Tip: Monitor slow queries and table size for optimal performance.,Dica: Monitore consultas lentas e tamanho da tabela para desempenho ideal.
Title,Título
Title Field,Campo Título
Title Prefix,Prefixo do Título
To,Para
To and CC,Para e CC
To Date,Até a Data
To Date Field,Até o momento do campo
Token,Símbolo
Tools,Ferramentas
Top,Topo
Top Bar Items,Itens da barra superior
Topic,Tópico
Top Tables,Principais Tabelas
Total,Total
Total:,Total:
Total Active Items,Total de Artigos Ativos
Total Amount,Valor Total
Total Incoming Bills,Total de Faturas Recebidas
Total Incoming Payment,Total de Pagamentos Recebidos
Total Invoices:,Total de Faturas:
Total Mpesa:,Total M-Pesa:
Total Outgoing Bills,Total de Faturas Emitidas
Total Outgoing Payment,Total de Pagamentos Efetuados
- Total Outstanding,- Total Pendente
Total Payments:,Total de Pagamentos:
Totals,Totais
Total Selected :,Total Selecionado:
Total Size,Tamanho Total
Total Stock Value,Valor Total do Stock
Total Subscribers,Total de Assinantes
- Total Unallocated,- Total Não Alocado
Total Warehouses,Total de Armazéns
Track Changes,Rastrear Alterações
Track Field,Trilha de corrida
Track Seen,Marcar como visto
Track Views,Acompanhar vistas
Training,Formação
Training Event,Evento de Formação
Training Feedback,Feedback da Formação
Training Program,Programa de Formação
Training Result,Resultado da Formação
Trainings (This Week),Formações (Esta Semana)
Transgender,Transgênero
Transition Rules,Regras de transição
Transitions,Transições
Translatable,Traduzível
Translated Text,Texto Traduzido
Travel Request,Pedido de Viagem
Tree,Árvore
Tree structures are implemented using Nested Set,As estruturas de árvore são implementadas usando o Conjunto Aninhado
Trigger Method,Método gatilho
Two Factor Authentication,Autenticação de dois fatores
Two Factor Authentication method,Método de autenticação de dois fatores
Type,Tipo
Unable to add scanned item.,Não é possível adicionar artigo escaneado.
Unable to fetch draft invoices,Não é possível obter faturas rascunho
Unable to fetch draft orders,Não é possível obter pedidos rascunho
Unable to fetch M-Pesa payments,Não é possível obter pagamentos M-Pesa
Unable to fetch sales orders,Não é possível obter pedidos de venda
Unable to load the selected sales order,Não é possível carregar o pedido de venda selecionado
Unable to print draft invoice,Não é possível imprimir fatura rascunho
Unable to submit the selected payment,Não é possível submeter o pagamento selecionado
Unallocated,Não Alocado
Unassign Condition,Desatribuir condição
Unique,Único
Unit of Measure,Unidade de Medida
Unknown,Desconhecido
Unknown error,Erro desconhecido
Unpaid Expense Claim,Reembolso de Despesa Não Pago
Unread,Não lida
Unread Notification Sent,Notificação de mensagem não lida enviada
UNSEEN,Por Ler
Unshared,Não Compartilhado
Unsubscribe Method,Método de Cancelamento de Inscrição
UOM,Unidade de Medida
Update,Atualizar
Update Customer,Atualizar Cliente
Update Existing Records,Atualizar registros existentes
Update Field,Atualizar Campo
Updates automatically,Atualiza automaticamente
Update Series Number,Atualizar Números de Séries
Update Settings,Atualizar configurações
Update Value,Atualizar Valor
Upload Attendance,Carregar Assiduidade
Uploaded To Dropbox,Enviado para o Dropbox
Uploaded To Google Drive,Carregado no Google Drive
Upload pending transactions,Carregar transações pendentes
URL for documentation or help,URL para documentação ou ajuda
Usage,Uso
Usage Stats,Estatísticas de Uso
Use ASCII encoding for password,Use codificação ASCII para senha
Used:,Usado:
Use date range to search for older invoices,Use intervalo de datas para procurar faturas antigas
Use IMAP,Usar IMAP
User,Usuário
User {0} is disabled,Usuário {0} está desativado
User Agent,Agente de usuário
User Cannot Create,O Usuário não pode criar
User Cannot Search,O Usuário não pode pesquisar
User Defaults,Padrões de Perfil
User does not exist.,O utilizador não existe.
Use Report Chart,Usar gráfico de relatório
User ID,ID de Usuário
User ID Property,Propriedade de ID do usuário
User Image,Imagem do Usuário
User must always select,O Usuário deve sempre selecionar
User Name,Nome de usuário
User Permissions,Permissões do Utilizador
User Tags,Etiquetas de Usuários
Use SSL,Usar SSL
Use this fieldname to generate title,Utilize este campo para gerar o título
Use TLS,Usar TLS
Using basic camera settings due to device limitations,Usando configurações básicas da câmara devido a limitações do dispositivo
Using cached customer balance,Usando saldo do cliente em cache
Valid,Válido
Validate Field,Validar Campo
Valid email and name required,É necessário e-mail e nome válidos
Validity,Validade
Valid Login id required.,É necessário um identificador de início de sessão válido.
Value,Valor
Value Based On,Valor Baseado em
Value Changed,Valor Alterado
Values Changed,Valores Alterados
Value To Be Set,Valor a ser definido
Value to Validate,Valor para Validar
Vehicle Log,Registo de Viatura
Vehicle Service Item,Serviço de Viatura
Verification,Verificação
Verification Code,Código de verificação
Verification code email not sent. Please contact Administrator.,O e‑mail com o código de verificação não foi enviado. Contacte o Administrador.
Verified,Verificado
Verify,Verificar
Verify closing amounts for each payment method,Verifique os valores de fecho para cada método de pagamento
Verifying...,A verificar...
Video URL,URL do vídeo
View,Visão
Viewed By,Visto por
View Properties (via Customize Form),Exibir Propriedades (via Personalizar Formulário)
View Report,Ver relatório
Views,Visualizações
View Settings,Ver Definições
Visit,Visita
Waiting for payment...,Aguardando pagamento...
Warehouse,Armazém
Warehouse wise Stock Value,Valor do Stock por Armazém
Warning,Aviso
Warning: High cache usage may affect performance.,Aviso: Uso elevado de cache pode afetar o desempenho.
Warning: High lag may indicate heavy processing or browser slowness.,Aviso: Atraso elevado pode indicar processamento pesado ou lentidão do navegador.
Warranty Claim,Reclamação de Garantia
Web Form Fields,Campos de formulário Web
Website,Site
Website Manager,Administrador do Site
Website Theme Image,Imagem do Tema do Site
Website Item,Artigo do Site
Weekdays,Dias da Semana
Weekly,Semanalmente
Weekly Long,Semanalmente Longo
Welcome to {0},Bem-vindo Ao {0}
Workflow,Fluxo de Trabalho
Workflow Action is not created for optional states,A ação do fluxo de trabalho não é criada para estados opcionais
Workflow Action Name,Nome da Ação do Fluxo de Trabalho
Workflow Name,Nome do Fluxo de Trabalho
Work Schedule,Horário de Trabalho
Work without server connection,Trabalhar sem conexão com servidor
Wrapping up,Empacotando
Write,Escrever
X Field,Campo X
Y Axis,Eixo Y
Year,Ano
Yearly,Anualmente
yellow,amarelo
Yes, Cancel sale,Sim, Cancelar venda
You need to enable JavaScript for your app to work.,Precisa ativar o JavaScript para a sua aplicação funcionar.
yyyy-mm-dd,dd/mm/yyyy
Zero means send records updated at anytime,Zero significa enviar registros atualizados a qualquer momento